,Heating,Cooling,Parking,Bedrooms,Bathrooms,Total interior livable area,Elementary School Score,Middle School Score,High School Score,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed Price
19600,Gas,None,"Carport, Covered, Garage",3,2.0,1562.0,9.0,9.0,10.0,"Hardwood, Laminate","Other, Gas",None,Dishwasher,Upper Floor,"Carport, Covered, Garage",130916.0,2610.0,1649000.0
19601,Propane,None,Carport,4,3.0,3139.0,6.0,5.0,8.0,"Laminate, Carpet",Other,None,"Range / Oven, Refrigerator","Inside, In Utility Room",Carport,441872.0,7182.0,749000.0
19607,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",4,3.0,2383.0,6.0,5.0,6.0,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Refrigerator","Gas Hookup, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",463809.0,5991.0,875000.0
19610,Central Forced Air,None,Covered,2,3.0,1240.0,9.0,6.0,8.0,Hardwood,"Forced air, Gas",None,"Dishwasher, Range / Oven",Inside,Covered,1382222.0,17222.0,2480000.0
19625,Central Forced Air,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered",Master Suite / Retreat,2.0,1430.0,7.0,7.0,9.0,"Tile, Hardwood",Forced air,Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached, Covered",193195.0,3892.0,898000.0
19628,Central,Central Air,Garage - Two Door,3,2.0,2074.0,6.0,3.0,6.0,Wood,Central,Central Air,Refrigerator,In Kitchen,Garage - Two Door,1128974.0,13867.0,1549000.0
19632,"Fireplace, Central Forced Air, Other, Stove Heater","Ceiling Fan, Central AC, Whole House / Attic Fan","Garage, Garage - Attached, Covered",Master Bedroom on Ground Floor,2.0,1407.0,6.0,5.0,7.0,"Hardwood, Laminate","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer","In Garage, Washer / Dryer, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",619909.0,8597.0,1235000.0
19634,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",2.0,1868.0,7.0,5.0,6.0,"Tile, Hardwood, Laminate",Forced air,Central,"Dishwasher, Dryer, Range / Oven, Refrigerator, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached, Covered",100502.0,1256.0,1350000.0
19648,Central Forced Air,None,"Garage, Garage - Attached",4,3.0,2152.0,2.0,3.0,3.0,"Tile, Carpet",Forced air,None,Refrigerator,Inside,"Garage, Garage - Attached",578992.0,6782.0,689000.0
19651,"Central Forced Air, Central Forced Air - Gas","Ceiling Fan, Central AC","Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Suite / Retreat",3.0,2424.0,6.0,5.0,7.0,"Tile, Hardwood, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Dryer, Inside, In Utility Room, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",1144028.0,12978.0,1298000.0
19655,Other,Other,"Garage Door Opener, Attached",4,4.0,2595.0,7.0,4.0,2.0,Hardwood Flrs Throughout,Other,Other,"Tankless Water Heater, Free-Standing Range, Refrigerator",Hookups Only,"Garage Door Opener, Attached",2287300.0,28153.0,3299000.0
19664,Radiant Floors,None,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",2.0,2030.0,7.0,6.0,8.0,"Tile, Laminate, Carpet, Vinyl / Linoleum","Radiant, Gas",None,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Gas Hookup, Inside, In Utility Room, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",1511193.0,18398.0,2495000.0
19668,Central Forced Air,Central AC,"Garage, Garage - Attached, Off-street, On-street, Covered","Master Bedroom on Ground Floor, Master Suite / Retreat",4.0,3450.0,9.0,8.0,7.0,"Hardwood, Carpet","Forced air, Electric, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer","Washer / Dryer, In Utility Room","Garage, Garage - Attached, Off-street, On-street, Covered",1082500.0,14388.0,5998000.0
19669,Wall Furnace,None,"Garage, Garage - Attached, Covered",2,1.0,806.0,4.0,3.0,5.0,"Tile, Laminate",Gas,None,"Dryer, Refrigerator, Washer",Washer / Dryer,"Garage, Garage - Attached, Covered",813208.0,10783.0,938000.0
19680,Central Forced Air - Gas,None,"Garage - Attached, Covered",Walk-in Closet,3.0,1455.0,6.0,3.0,5.0,"Tile, Hardwood","Forced air, Gas",None,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer","In Garage, Upper Floor, Washer / Dryer","Garage - Attached, Covered",1123358.0,14203.0,1295000.0
19688,Central Forced Air,None,"Garage, Garage - Attached","Master Suite / Retreat, Walk-in Closet",3.0,1945.0,10.0,9.0,6.0,"Wood, Carpet",Forced air,None,"Dishwasher, Range / Oven",In Garage,"Garage, Garage - Attached",521606.0,7076.0,2089000.0
19693,Central Forced Air - Gas,None,"Garage, Garage - Attached, Covered","Walk-in Closet, Master Suite / Retreate - 2+",3.0,1510.0,7.0,6.0,7.0,Other,"Forced air, Gas",None,"Range / Oven, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",386162.0,4717.0,1599000.0
19696,Central,Central Air,Garage - Two Door,3,2.0,1807.0,8.0,6.0,8.0,"Wood, Tile",Central,Central Air,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Laundry Room,Garage - Two Door,1493753.0,18172.0,1695000.0
19702,Central Forced Air - Gas,Central AC,"Underground/Basement, Garage - Attached, Covered",3,2.0,2900.0,6.0,6.0,9.0,Wood,"Forced air, Gas","Central, Solar","Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside, Electricity Hookup (220V)","Underground/Basement, Garage - Attached, Covered",551700.0,6434.0,1680000.0
19706,Forced Air,None,Garage - Attached,3,2.0,1920.0,9.0,6.0,8.0,"Carpet, Tile",Forced Air,None,"Dishwasher, Refrigerator, Electric Cooktop, Double Oven, Washer, Dryer","Laundry Closet, In Kitchen",Garage - Attached,157086.0,2166.0,1995000.0
19724,Central Forced Air,Central AC,"Garage, Garage - Detached, On-street, Covered",3,2.0,1285.0,5.0,5.0,6.0,Laminate,"Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Inside,"Garage, Garage - Detached, On-street, Covered",503728.0,7245.0,999888.0
19729,Central,Central Air,Driveway Level,4,2.0,1344.0,3.0,2.0,3.0,"Laminate, Tile",Central,Central Air,"Dishwasher, Disposal, Gas Oven, Gas Range, Range Hood, Water Heater","Inside, Stackable",Driveway Level,27964.0,518.0,549888.0
19742,"Fireplace, Central Forced Air","Central AC, Whole House / Attic Fan","Garage, Garage - Attached, Covered",5,3.0,2425.0,8.0,8.0,9.0,"Tile, Hardwood, Laminate",Forced air,Central,"Dishwasher, Garbage disposal",Upper Floor,"Garage, Garage - Attached, Covered",629280.0,10019.0,1655000.0
19746,Forced Air,None,"Garage, Garage - Attached, Covered",More than One Bedroom on Ground Floor,2.0,1566.0,9.0,9.0,9.0,"Hardwood, Carpet, Vinyl / Linoleum","None, Forced air",None,"Dryer, Refrigerator, Washer","Tub / Sink, Washer / Dryer, Inside","Garage, Garage - Attached, Covered",194338.0,3161.0,2399000.0
19753,Central Forced Air,Central AC,"Garage, Garage - Detached, Covered",3,2.0,1522.0,4.0,3.0,5.0,"Tile, Hardwood, Laminate","None, Heat pump",Central,"Dishwasher, Garbage disposal, Range / Oven",Inside,"Garage, Garage - Detached, Covered",737512.0,9821.0,1349900.0
19765,Forced Air,"Ceiling Fan(s), Zoned","Garage Door Opener, Attached",4,3.0,2590.0,6.0,7.0,9.0,"Carpet, Concrete, Hardwood, Tile, Vinyl",Forced Air,"Ceiling Fan(s), Zoned","Dryer, Washer, Tankless Water Heater, Gas Range, Microwave, Range, Refrigerator","220 Volt Outlet, Dryer, Laundry Room, Washer","Garage Door Opener, Attached",940005.0,11720.0,1450000.0
19767,Central Forced Air,"Multi-Zone, Central AC","Garage, Garage - Attached, Covered","Master Suite / Retreat, Walk-in Closet",5.0,6660.0,8.0,8.0,7.0,"Hardwood, Stone","Other, Gas",Central,"Dishwasher, Dryer, Freezer, Microwave, Refrigerator, Washer","Dryer, Washer, Upper Floor, Washer / Dryer, Inside","Garage, Garage - Attached, Covered",8016599.0,90420.0,9200000.0
19768,Central Forced Air,Central AC,Carport,3,1.0,1124.0,8.0,5.0,8.0,"Tile, Laminate",Forced air,Central,"Dishwasher, Dryer, Washer",Washer / Dryer,Carport,398730.0,5228.0,659000.0
19774,Central,Central Air,Concrete,3,4.0,2130.0,4.0,3.0,7.0,Wood,Central,Central Air,"Dishwasher, Refrigerator, Electric Cooktop, Gas Oven",Inside,Concrete,903720.0,11193.0,1749000.0
19793,"Fireplace, Central Forced Air - Gas",Other,"Garage, Garage - Attached, Covered",Master Suite / Retreat,2.0,1598.0,8.0,7.0,9.0,"Tile, Hardwood, Carpet, Vinyl / Linoleum","Forced air, Gas",Other,"Dishwasher, Dryer, Freezer, Garbage disposal, Refrigerator","In Garage, Dryer, Inside, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",985011.0,13737.0,1098000.0
19803,Central Forced Air,Ceiling Fan,"Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, More than One Master Bedroom, Master Suite / Retreate - 2+",3.0,2976.0,9.0,8.0,8.0,"Tile, Hardwood, Carpet, Other, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Washer / Dryer,"Garage, Garage - Attached, Covered",293403.0,4420.0,3298000.0
19810,"Fireplace, Central Forced Air - Gas",None,"Garage, Garage - Attached","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",2.0,1301.0,4.0,6.0,7.0,"Tile, Hardwood, Laminate","Forced air, Gas",None,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Washer / Dryer, Gas Hookup","Garage, Garage - Attached",364865.0,4064.0,1100000.0
19825,Central Forced Air,None,"Garage, Garage - Attached",2,1.0,1060.0,4.0,5.0,6.0,Hardwood,Forced air,None,"Dishwasher, Range / Oven, Refrigerator",In Garage,"Garage, Garage - Attached",945063.0,10455.0,1298000.0
19834,"Solar, Central Forced Air - Gas","Multi-Zone, Central AC","Garage, Garage - Attached, Covered","Master Suite / Retreat, More than One Bedroom on Ground Floor, Walk-in Closet",5.0,4000.0,7.0,5.0,5.0,"Tile, Laminate, Carpet","Forced air, Gas",Central,"Dishwasher, Microwave, Refrigerator",In Utility Room,"Garage, Garage - Attached, Covered",475483.0,6050.0,1225000.0
19835,Forced air,Other,"Garage, Garage - Detached, Off-street, Covered",4,2.0,1506.0,7.0,9.0,9.0,Hardwood,Forced air,Other,"Dryer, Washer",In Unit,"Garage, Garage - Detached, Off-street, Covered",849694.0,10270.0,1099000.0
19840,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",3,3.0,1581.0,5.0,5.0,6.0,"Tile, Hardwood, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Range / Oven, Refrigerator, Trash compactor, Washer","Tub / Sink, Washer / Dryer, Inside","Garage, Garage - Attached, Covered",758006.0,10204.0,1449950.0
19843,Central,Central Air,Garage - Two Door,3,3.0,1520.0,2.0,3.0,7.0,Wood,Central,Central Air,Dishwasher,In Kitchen,Garage - Two Door,343085.0,4290.0,1425000.0
19844,Central Forced Air,None,"Garage, Garage - Detached, Covered",3,2.0,1380.0,5.0,4.0,5.0,"Tile, Hardwood",Forced air,None,"Dishwasher, Dryer, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Detached, Covered",1248480.0,16477.0,1329888.0
19848,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",3,2.0,1533.0,7.0,6.0,7.0,"Tile, Hardwood, Carpet",Forced air,Central,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Washer","In Garage, Washer / Dryer, Gas Hookup","Garage, Garage - Attached, Covered",427753.0,5097.0,1698000.0
19856,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",3,2.0,1240.0,9.0,9.0,8.0,"Tile, Hardwood, Carpet",Forced air,Central,"Dishwasher, Dryer, Refrigerator, Washer",Washer / Dryer,"Garage, Garage - Attached, Covered",721068.0,10372.0,1300000.0
19858,Central Forced Air - Gas,Central AC,"Garage, Garage - Detached, Covered",2,1.0,936.0,4.0,3.0,5.0,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Detached, Covered",713590.0,10093.0,899888.0
19867,Central,Central Air,"Driveway Down Slope From Street, Garage Door Opener, Driveway, Concrete, Guest, Side By Side, Garage - Two Door",2,2.0,1560.0,6.0,3.0,6.0,"Carpet, Laminate",Central,Central Air,"Disposal, Refrigerator, Electric Cooktop, Double Oven, Washer, Dryer","Inside, Laundry Closet","Driveway Down Slope From Street, Garage Door Opener, Driveway, Concrete, Guest, Side By Side, Garage - Two Door",116968.0,1626.0,1250000.0
19870,Central Forced Air - Gas,"Ceiling Fan, Central AC, Whole House / Attic Fan","Garage, Garage - Attached, Covered",Master Suite / Retreat,3.0,1982.0,6.0,5.0,7.0,"Tile, Laminate, Carpet","Forced air, Gas","Central, Solar","Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Attached, Covered",695985.0,9807.0,1525000.0
19872,Central Forced Air,Central AC,"Garage, Garage - Attached","More than One Bedroom on Ground Floor, Walk-in Closet, More than One Master Bedroom on Ground Floor",3.0,2370.0,7.0,4.0,7.0,"Tile, Other","Forced air, Gas, Other",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, In Utility Room","Garage, Garage - Attached",1265932.0,16197.0,1875000.0
19876,Central Forced Air - Gas,None,"Garage, Garage - Attached",Master Bedroom on Ground Floor,2.0,1454.0,9.0,6.0,7.0,"Tile, Laminate","Forced air, Gas",None,"Dishwasher, Range / Oven","Gas Hookup, Inside","Garage, Garage - Attached",759109.0,8612.0,1135000.0
19879,"Forced air, Gas",None,"Garage, Garage - Detached, Off-street, Covered",3,2.0,1400.0,8.0,7.0,9.0,Hardwood,"Forced air, Gas",None,"Dryer, Washer",In Unit,"Garage, Garage - Detached, Off-street, Covered",109797.0,1412.0,3495000.0
19880,"Solar, Forced Air, Zoned",Central Air,"Garage Door Opener, Direct Access, Driveway",4,3.0,2303.0,8.0,7.0,8.0,"Wood, Carpet","Solar, Forced Air, Zoned",Central Air,"Barbecue, Dishwasher, Refrigerator, Gas Range, Range Hood, Washer, Dryer","Upper Level, Laundry Room","Garage Door Opener, Direct Access, Driveway",1461282.0,16991.0,1899000.0
19895,Central Forced Air - Gas,"Central AC, Window / Wall Unit","Garage, Garage - Detached, Off-street, On-street, Covered","Master Suite / Retreat, Walk-in Closet",3.0,1744.0,8.0,5.0,6.0,"Tile, Hardwood, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Dryer, Washer, Tub / Sink, Gas Hookup, Inside","Garage, Garage - Detached, Off-street, On-street, Covered",825247.0,11311.0,1639000.0
19900,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",2.0,1568.0,8.0,8.0,9.0,"Tile, Hardwood",Forced air,Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached, Covered",1234562.0,15640.0,1998000.0
19904,"Gas, Forced Air, Central Forced Air - Gas","Multi-Zone, Central AC","Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Suite / Retreat, Walk-in Closet",3.0,2576.0,2.0,5.0,7.0,"Tile, Wood, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Washer","Gas Hookup, Inside, In Utility Room, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",743142.0,8404.0,975000.0
19905,"Central Forced Air, Other",Other,Garage - Attached,3,2.0,2420.0,4.0,6.0,10.0,Laminate,Forced air,Other,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer",Washer / Dryer,Garage - Attached,587884.0,7702.0,1688000.0
19910,Central Forced Air,Central AC,"Garage, Carport, Garage - Attached, On-street, Covered","Ground Floor Bedroom, Master Suite / Retreat, More than One Bedroom on Ground Floor, Walk-in Closet",3.0,3014.0,3.0,5.0,5.0,"Tile, Hardwood, Carpet",Forced air,Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",In Utility Room,"Garage, Carport, Garage - Attached, On-street, Covered",900000.0,11417.0,920000.0
19912,Central,Central Air,"Garage - Two Door, Circular Driveway, Direct Access, Gated, Side By Side",5,8.0,5662.0,9.0,7.0,8.0,"Carpet, Wood, Stone",Central,Central Air,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Laundry Room,"Garage - Two Door, Circular Driveway, Direct Access, Gated, Side By Side",2414883.0,29682.0,4495000.0
19915,Central Forced Air,None,"Garage, Garage - Attached, Covered",4,2.0,1290.0,9.0,6.0,8.0,"Tile, Hardwood",Forced air,None,"Dishwasher, Garbage disposal, Microwave, Range / Oven",Inside,"Garage, Garage - Attached, Covered",242921.0,3057.0,1898000.0
19928,Central Forced Air - Gas,Central AC,"Garage, Garage - Detached, Covered",3,2.0,1657.0,5.0,5.0,6.0,"Tile, Wood","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Range / Oven","Washer / Dryer, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Detached, Covered",833680.0,10940.0,1538000.0
19930,"Wall Furnace, Central Forced Air",None,"Garage, Garage - Attached, Covered","More than One Bedroom on Ground Floor, More than One Master Bedroom",4.0,2500.0,8.0,8.0,9.0,"Laminate, Carpet, Vinyl / Linoleum","Forced air, Gas",None,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Inside, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",1769623.0,21373.0,2249000.0
19935,"Forced Air, Central Forced Air - Gas",Central AC,"Garage, Garage - Attached, Covered",Walk-in Closet,3.0,1721.0,7.0,6.0,6.0,Hardwood,"Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached, Covered",1055370.0,14556.0,1198000.0
19936,Central Forced Air,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered",3,2.0,1482.0,6.0,5.0,6.0,Wood,Forced air,Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",943089.0,11234.0,1600000.0
19940,"Central, Forced Air","Central Air, Electric","Concrete, Driveway Level, Garage, Garage Faces Front, Garage - Two Door, Garage Door Opener",4,4.0,2070.0,6.0,2.0,6.0,"Tile, Vinyl","Central, Forced Air","Central Air, Electric","Self Cleaning Oven, Convection Oven, Dishwasher, Free-Standing Range, Freezer, Disposal, Gas Range, Microwave, Refrigerator, Tankless Water Heater, Water Line to Refrigerator",Laundry Closet,"Concrete, Driveway Level, Garage, Garage Faces Front, Garage - Two Door, Garage Door Opener",1619729.0,19718.0,1990000.0
19958,"Fireplace, Central Forced Air - Gas",None,"Underground/Basement, Garage - Detached, Covered","Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor, Walk-in Closet, Master Suite / Retreate - 2+",3.0,2077.0,4.0,4.0,7.0,"Tile, Hardwood","Forced air, Gas",None,"Dishwasher, Dryer, Freezer, Garbage disposal, Range / Oven, Refrigerator, Washer","Washer / Dryer, Outside","Underground/Basement, Garage - Detached, Covered",1750000.0,21465.0,1798000.0
19960,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached",3,2.0,1400.0,5.0,4.0,7.0,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached",1586610.0,19896.0,1698000.0
19967,Central,Central Air,Converted Garage,3,4.0,1520.0,8.0,3.0,7.0,"Wood, Tile",Central,Central Air,"Barbecue, Dishwasher, Disposal, Refrigerator, Washer, Dryer","In Kitchen, Stackable",Converted Garage,1428617.0,17518.0,1695000.0
19968,Central,Central Air,"Driveway, Garage",3,3.0,1770.0,7.0,4.0,6.0,"Stone, Tile",Central,Central Air,"Dishwasher, Disposal, Microwave, Refrigerator",Inside,"Driveway, Garage",1002863.0,12267.0,1699999.0
19969,Central,Central Air,"Driveway, Garage, Garage - Two Door, Built-In Storage, Direct Access, Covered",3,4.0,2165.0,8.0,6.0,8.0,"Tile, Wood",Central,Central Air,"Dishwasher, Disposal, Refrigerator, Gas Range, Range Hood, Washer, Dryer","Inside, Laundry Room","Driveway, Garage, Garage - Two Door, Built-In Storage, Direct Access, Covered",1164871.0,14152.0,1275000.0
19976,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered","Master Suite / Retreat, Walk-in Closet",3.0,2213.0,9.0,6.0,8.0,"Laminate, Wood, Vinyl / Linoleum",Forced air,Central,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator","Inside, In Utility Room","Garage, Garage - Attached, Covered",1915903.0,22759.0,2150000.0
19979,Electric,None,"Garage, Garage - Attached, Covered",2,1.0,1058.0,4.0,3.0,5.0,Hardwood,"Forced air, Gas",None,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer",In Garage,"Garage, Garage - Attached, Covered",502555.0,7087.0,949000.0
19980,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered","Master Suite / Retreat, Walk-in Closet",3.0,2365.0,2.0,5.0,7.0,"Hardwood, Other, Vinyl / Linoleum",Forced air,Central,"Dishwasher, Garbage disposal, Range / Oven","Dryer, Washer, Inside, In Utility Room, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",1248480.0,14160.0,1199000.0
19981,Other,Central AC,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",3.0,2528.0,9.0,9.0,9.0,"Tile, Carpet",Other,Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","In Garage, Gas Hookup","Garage, Garage - Attached, Covered",181587.0,3093.0,3250000.0
19988,"Gas, Forced Air, Heating - 2+ Zones, Radiant Floors","Multi-Zone, Central AC","Carport, Garage - Attached","More than One Bedroom on Ground Floor, Master Suite / Retreate - 2+, More than One Master Bedroom on Ground Floor",5.0,6229.0,6.0,5.0,5.0,"Tile, Hardwood, Marble, Carpet, Travertine","Forced air, Radiant, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Refrigerator","Tub / Sink, Inside, Electricity Hookup (110V)","Carport, Garage - Attached",2165772.0,24431.0,2698000.0
19990,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered","Walk-in Closet, More than One Master Bedroom",3.0,1862.0,3.0,5.0,6.0,"Tile, Laminate","None, Forced air",Central,"Garbage disposal, Refrigerator","Gas Hookup, Inside, In Utility Room","Garage, Garage - Attached, Covered",970000.0,13077.0,1499000.0
20005,Central Forced Air - Gas,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered",5,4.0,3412.0,2.0,5.0,7.0,"Tile, Carpet, Hardwood","Forced air, Gas",Central,"Dryer, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, In Utility Room","Garage, Garage - Attached, Covered",1326000.0,14949.0,1389777.0
20006,Other,Other,"Garage, Covered",6,5.0,6517.0,8.0,7.0,7.0,Hardwood,Other,Other,Dishwasher,Laundry Area,"Garage, Covered",6502500.0,79604.0,6999000.0
20014,Central Forced Air - Gas,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered",Walk-in Closet,2.0,2389.0,7.0,7.0,8.0,"Tile, Laminate, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Other, Washer / Dryer, Gas Hookup, Inside, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",901568.0,11730.0,1399000.0
20015,Central Forced Air - Gas,Other,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, Master Suite / Retreat, More than One Bedroom on Ground Floor",2.0,1350.0,8.0,8.0,7.0,"Tile, Hardwood, Stone, Travertine","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer","Dryer, Washer, Inside","Garage, Garage - Attached, Covered",845472.0,11679.0,2249000.0
20016,Central,Central Air,"Attached Carport, Driveway - Combination",4,5.0,3286.0,8.0,6.0,8.0,"Brick, Wood, Tile",Central,Central Air,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Range, Range Hood, Washer, Dryer",Inside,"Attached Carport, Driveway - Combination",1692547.0,20660.0,2299000.0
20021,"Gas, Wall Furnace, Central Forced Air",None,"Garage, Garage - Attached",4,3.0,2100.0,5.0,4.0,7.0,"Hardwood, Carpet, Vinyl / Linoleum","Forced air, Gas",None,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator","Inside, In Utility Room","Garage, Garage - Attached",1334562.0,16770.0,1799000.0
20027,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Suite / Retreat, Walk-in Closet",3.0,2989.0,8.0,5.0,6.0,"Tile, Hardwood, Carpet",Forced air,Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","Inside, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",757268.0,10665.0,1899000.0
20031,Central,Central Air,"Driveway, Garage - Two Door",3,2.0,1590.0,6.0,3.0,6.0,Wood,Central,Central Air,"Dishwasher, Disposal, Refrigerator, Washer, Dryer","In Kitchen, Laundry Closet","Driveway, Garage - Two Door",734516.0,9224.0,1469000.0
20034,Forced Air,Central AC,"Garage, Garage - Attached, Covered",3,1.0,1123.0,4.0,5.0,6.0,"Laminate, Carpet","Forced air, Gas",Central,Range / Oven,In Garage,"Garage, Garage - Attached, Covered",572220.0,7362.0,629888.0
20035,"Forced air, Gas",Ceiling Fan,"Garage, Garage - Attached, Covered",3,2.0,1391.0,5.0,4.0,5.0,"Tile, Hardwood, Linoleum / Vinyl","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Range / Oven","Gas Hookup, Inside, In Utility Room","Garage, Garage - Attached, Covered",1560600.0,20244.0,1585000.0
20041,Central Forced Air,None,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Suite / Retreat, More than One Bedroom on Ground Floor",3.0,2194.0,8.0,6.0,8.0,"Hardwood, Carpet",Forced air,None,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Trash compactor, Washer","Washer / Dryer, In Utility Room","Garage, Garage - Attached, Covered",843609.0,10408.0,2995000.0
